Road_ID,Project_Name,Timestamp,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,LinAccelX,LinAccelY,LinAccelZ,SpeedKmh,SpeedGPS,Latitude,Longitude,GPSTime,GPSAcc,RecIntvl,Enumerator
f93ccc28-9d48-4b82-a715-5db8558e3eda,Road Conditions Assessment ,Sun Nov 30 08:04:51 GMT 2025,-0.067498274,0.078956164,0.029460758,9.8686,0.52395606,0.06935703,0.022639275,0.022639275,0.022639275,0.35999995,0.099999994,6.686698,-1.5698171,1764489890803,15.306,1.0,archangelenoch@gmail.com
f93ccc28-9d48-4b82-a715-5db8558e3eda,Road Conditions Assessment ,Sun Nov 30 08:04:52 GMT 2025,-0.031925537,0.03642209,0.07587519,9.4279175,0.11866262,0.11162966,-0.32388306,-0.32388306,-0.32388306,0.21599999,0.06,6.6867122,-1.5698876,1764489892409,12.627,1.0,archangelenoch@gmail.com
f93ccc28-9d48-4b82-a715-5db8558e3eda,Road Conditions Assessment ,Sun Nov 30 08:04:53 GMT 2025,-0.024930896,0.06243549,0.04320023,9.782932,0.06995558,-0.29867667,0.06290913,0.06290913,0.06290913,0.0,0.0,6.6867121,-1.5698875,1764489893409,11.02,1.0,archangelenoch@gmail.com
f93ccc28-9d48-4b82-a715-5db8558e3eda,Road Conditions Assessment ,Sun Nov 30 08:04:54 GMT 2025,-0.0065449844,0.059571017,0.04849617,9.983521,0.51071316,-0.4547487,0.15414524,0.15414524,0.15414524,0.35999995,0.099999994,6.6867155,-1.5698921,1764489894408,9.693,1.0,archangelenoch@gmail.com
f93ccc28-9d48-4b82-a715-5db8558e3eda,Road Conditions Assessment ,Sun Nov 30 08:04:55 GMT 2025,0.074592836,0.036305513,0.08640046,10.044424,0.25139117,1.0497078,0.1610136,0.1610136,0.1610136,2.4119997,0.66999996,6.6867136,-1.5698904,1764489895409,7.738,1.0,archangelenoch@gmail.com
f93ccc28-9d48-4b82-a715-5db8558e3eda,Road Conditions Assessment ,Sun Nov 30 08:04:56 GMT 2025,-1.3323124E-4,-0.004413285,0.012423813,9.950527,0.7341969,-0.6608745,0.13956165,0.13956165,0.13956165,0.792,0.22,6.6867157,-1.5698903,1764489896408,3.367,1.0,archangelenoch@gmail.com
f93ccc28-9d48-4b82-a715-5db8558e3eda,Road Conditions Assessment ,Sun Nov 30 08:04:57 GMT 2025,0.032641653,-0.01863572,-0.025180705,9.870396,0.41756374,0.06771102,-0.06075096,-0.06075096,-0.06075096,1.9079999,0.53,6.6867172,-1.5698881,1764489897408,2.857,1.0,archangelenoch@gmail.com
f93ccc28-9d48-4b82-a715-5db8558e3eda,Road Conditions Assessment ,Sun Nov 30 08:04:58 GMT 2025,-0.00174866,-0.012673622,-0.08610069,9.898528,0.16924013,1.080608,0.46233654,0.46233654,0.46233654,2.952,0.82,6.6867208,-1.5698829,1764489898409,2.347,1.0,archangelenoch@gmail.com
f93ccc28-9d48-4b82-a715-5db8558e3eda,Road Conditions Assessment ,Sun Nov 30 08:04:59 GMT 2025,0.02120042,0.034923237,-0.01368951,9.386318,0.40656537,-0.23298575,-0.047205925,-0.047205925,-0.047205925,0.7199999,0.19999999,6.6867225,-1.5698789,1764489899409,2.143,1.0,archangelenoch@gmail.com
f93ccc28-9d48-4b82-a715-5db8558e3eda,Road Conditions Assessment ,Sun Nov 30 08:05:00 GMT 2025,0.1358126,0.04379977,-0.055041157,10.362853,2.048913,-1.9916766,1.1917057,1.1917057,1.1917057,3.0959997,0.85999995,6.6867258,-1.5698747,1764489900409,2.041,1.0,archangelenoch@gmail.com
